Jogo,Avalia____o
"A Short Hike
all-time low: R$ 9,12 at -45%","0,966"
"Mount & Blade: Warband
all-time low: R$ 4,49 at -85%","0,9645"
"The Binding of Isaac: Rebirth
Midweek Deal
all-time low: R$ 9,51 at -66%","0,9642"
"Resident Evil 4
new historical low","0,963"
Deep Rock Galactic,"0,9614"
"Dyson Sphere Program
all-time low: R$ 39,49 at -20%","0,9607"
"Garry's Mod
all-time low: R$ 4,24 at -75%","0,9604"
"Rhythm Doctor
all-time low: R$ 27,89 at -10%","0,9599"
"Baldur's Gate 3
Week Long Deal","0,9598"
Firework,"0,9595"
