Jogo,Pre__o
"Monster Energy Supercross - The Official Videogame 6
all-time low: R$ 24,95 at -90%","R$242,50"
"NBA 2K25
new historical low","R$199,75"
"NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS
Week Long Deal
all-time low: R$ 114,95 at -50%","R$189,95"
"Baldur's Gate 3
Week Long Deal","R$159,99"
Dragon's Dogma 2,"R$159,03"
"Tales of Arise
all-time low: R$ 38,72 at -75%","R$153,75"
Avatar: Frontiers of Pandora™,"R$149,99"
WWE 2K24,"R$149,99"
"The Last of Us™ Part I
Midweek Deal","R$149,94"
"Gary Grigsby's War in the East 2
Week Long Deal
all-time low: R$ 97,99 at -30%","R$145,69"
