Jogo,Pre__o,Termina,Inicio
"Rust
Top Seller
all-time low: R$ 16,49 at -75%","R$62,09","9 November 2024 at 18:00:00 UTC
9 November 2024 at 15:00:00 GMT-3","11 November 2024 at 18:00:00 UTC
11 November 2024 at 15:00:00 GMT-3"
"Dream Swing
new historical low","R$3,46","9 November 2024 at 18:00:00 UTC
9 November 2024 at 15:00:00 GMT-3","17 November 2024 at 18:00:00 UTC
17 November 2024 at 15:00:00 GMT-3"
"Remnants of Naezith
current 2-year low","R$8,24","9 November 2024 at 18:00:00 UTC
9 November 2024 at 15:00:00 GMT-3","6 November 2024 at 13:05:02 UTC
6 November 2024 at 10:05:02 GMT-3"
"E.Z
all-time low: R$ 1,79 at -60%","R$4,54","9 November 2024 at 18:00:00 UTC
9 November 2024 at 15:00:00 GMT-3","5 November 2024 at 18:01:21 UTC
5 November 2024 at 15:01:21 GMT-3"
"Warhammer 40,000: Dawn of War - Anniversary Edition
all-time low: R$ 3,89 at -85%","R$17,80","9 November 2024 at 18:00:00 UTC
9 November 2024 at 15:00:00 GMT-3","27 October 2024 at 17:02:59 UTC
27 October 2024 at 14:02:59 GMT-3"
"Generation Zero®
all-time low: R$ 11,09 at -85%","R$22,19","9 November 2024 at 18:00:00 UTC
9 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
"Monochroma
all-time low: R$ 3,69 at -90%","R$9,24","9 November 2024 at 18:00:00 UTC
9 November 2024 at 15:00:00 GMT-3","27 October 2024 at 16:05:02 UTC
27 October 2024 at 13:05:02 GMT-3"
Mayhem Brawler,"R$19,79","9 November 2024 at 18:00:00 UTC
9 November 2024 at 15:00:00 GMT-3","5 November 2024 at 18:02:11 UTC
5 November 2024 at 15:02:11 GMT-3"
"Warhammer 40,000: Dawn of War II - Anniversary Edition
all-time low: R$ 5,54 at -85%","R$26,99","9 November 2024 at 18:00:00 UTC
9 November 2024 at 15:00:00 GMT-3","5 November 2024 at 18:02:17 UTC
5 November 2024 at 15:02:17 GMT-3"
"Cats and the Other Lives
all-time low: R$ 17,99 at -70%","R$23,99","9 November 2024 at 18:00:00 UTC
9 November 2024 at 15:00:00 GMT-3","20 November 2024 at 18:00:00 UTC
20 November 2024 at 15:00:00 GMT-3"
