Jogo,Liberar
"Robin Hood: The Legend of Sherwood
Daily Deal
all-time low: R$ 1,59 at -90%",11/2002
"Post Mortem
Daily Deal
all-time low: R$ 1,59 at -90%",11/2002
"XIII - Classic
Daily Deal
all-time low: R$ 2,47 at -80%",11/2003
"Garry's Mod
all-time low: R$ 4,24 at -75%",11/2006
"Europa Universalis: Rome - Gold Edition
Week Long Deal
2-year low: R$ 4,24",11/2008
"DeathSpank: Thongs of Virtue
all-time low: R$ 2,49 at -90%",11/2010
"Anno 2070™
current 2-year low",11/2011
"Moto Racer Collection
Daily Deal",11/2011
"Towns
Week Long Deal
all-time low: R$ 3,74 at -85%",11/2012
"Garfield Kart
Daily Deal
all-time low: R$ 1,04 at -90%",11/2013
