Jogo,Desconto
"Barro F22
all-time low: R$ 0,57 at -90%","-0,08"
"Genome Guardian
all-time low: R$ 16,19 at -67%","-0,08"
"Barro 2020
all-time low: R$ 0,57 at -90%","-0,08"
"Santa Rockstar
all-time low: R$ 1,39 at -90%","-0,08"
"Barro F
all-time low: R$ 0,57 at -90%","-0,08"
"Barro 22
all-time low: R$ 0,57 at -90%","-0,08"
"Sinister Halloween
2-year low: R$ 3,26","-0,09"
"Lucky Tower Ultimate
Week Long Deal
new historical low","-0,1"
Cat God Ranch,"-0,1"
"Farlands
Week Long Deal","-0,1"
